LICHESS BLITZ,LICHESS BULLET,LICHESS RAPID,LICHESS CLASSICAL,USCF,FIDE
845,810,985,1065,285,0
920,885,1125,1120,285,0
1000,940,1185,1255,300,0
1090,1010,1285,1355,575,0
1195,1060,1380,1445,700,0
1275,1135,1480,1530,835,0
1365,1235,1550,1590,1010,0
1420,1295,1600,1620,1070,0
1480,1335,1625,1660,1115,0
1530,1400,1670,1705,1155,0
1585,1450,1705,1730,1235,1440
1625,1495,1735,1755,1290,1450
1665,1525,1785,1785,1340,1500
1700,1590,1815,1805,1395,1505
1735,1630,1840,1825,1470,1535
1780,1670,1865,1855,1505,1600
1815,1705,1895,1890,1550,1630
1860,1750,1930,1925,1605,1645
1885,1785,1955,1940,1640,1680
1910,1810,1995,1960,1705,1720
1950,1850,2010,1990,1750,1770
1995,1900,2040,2020,1805,1835
2015,1945,2060,2040,1850,1870
2050,2000,2085,2055,1880,1920
2075,2020,2110,2070,1915,1965
2145,2105,2170,2090,2010,2035
2215,2180,2205,2165,2105,2125
2290,2265,2240,2195,2200,2205
2390,2365,2300,2285,2255,2280
2450,2455,2395,2310,2295,2345
2530,2540,2455,2375,2425,2405
2605,2625,0,0,2535,2460
2680,2735,0,0,2565,2535
